thisRow.t,notes,response,correct,correct_response,response_time,bonus,difficulty,category,phase,t_delay,stimulus_ID,stim presentation time,delay presentation time,AB presentation time,feedback presentation time,ITI presentation time,ITI response time,participant,session,date,
,,left,1,['left'],0.9723879989996931,0.05,4,1,test,,2,267.9922755410007,268.99852341599944,269.85385620799934,271.0550374159993,272.56241150000096,4.115271582999412,,,2023-12-15_10h20.10.618,
,,right,1,['right'],1.8810430409994296,0.05,4,2,test,,11,274.15492504100075,275.1593191659995,276.0152977500002,278.1678337909998,279.6758851249997,4.85410495799988,,,2023-12-15_10h20.10.618,
,,right,1,['right'],0.887634208000236,0.05,5,2,test,,6,281.08644724999976,282.09065058300075,282.94586541600074,284.07611141599955,285.58701508299964,3.84273525000026,,,2023-12-15_10h20.10.618,
,,left,0,['right'],1.3839547489988036,0,5,2,test,,3,287.0173407910006,288.0222973330001,288.87752404099956,290.52791633299967,295.5381067500002,8.00502537399916,,,2023-12-15_10h20.10.618,
,,right,0,['left'],0.85686958199949,0,5,1,test,,10,297.0934089580005,298.0985743750007,298.9537314579993,300.0581914579998,305.0684543330008,7.514943915999538,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.8503050829986023,0.05,5,1,test,,4,306.69168795800033,307.6963365829997,308.55129712500093,309.6445443749999,311.1510582080009,3.7302932499987946,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.7589853740009858,0.05,5,2,test,,11,312.55303066600027,313.55720245799967,314.41279345800103,315.42467812500036,316.93165845800104,3.6078888320007536,,,2023-12-15_10h20.10.618,
,,right,1,['right'],0.7952990000012505,0.05,4,2,test,,8,318.26214516599975,319.2670134159998,320.1224290000009,321.17690033300096,322.68312833299933,3.7004533750005066,,,2023-12-15_10h20.10.618,
,,left,0,['right'],1.3478118740003993,0,4,1,test,,5,324.05806120799934,325.06267812499937,325.9180023330009,327.51746345799984,332.52691700000105,8.373877666001135,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.8505184999994526,0.05,4,2,test,,8,334.4967898750001,335.5014527910007,336.3565741250004,337.4784090409994,338.985277916001,3.9145485410008405,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.7534510410005169,0.05,4,2,test,,5,340.4864859160007,341.49077274999945,342.3466687500004,343.3718886660008,344.87899741600086,3.767307874000835,,,2023-12-15_10h20.10.618,
,,right,1,['right'],1.6838586239991855,0.05,4,1,test,,1,346.35108412500085,347.35581233300036,348.2103984580008,350.12468824999996,351.63143908299935,4.797841707000771,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.7727307500008465,0.05,5,1,test,,7,353.22425574999943,354.22828395800025,355.0835094159993,356.13465079100024,357.6419939160005,3.8606528750005964,,,2023-12-15_10h20.10.618,
,,right,0,['left'],0.7408997910006292,0,5,2,test,,18,359.1670735410007,360.1714307080001,361.0263593330001,362.0260398749997,367.04126062499927,7.381907874001627,,,2023-12-15_10h20.10.618,
,,left,0,['right'],0.8136296660013613,0,5,1,test,,16,368.65681579100055,369.66196933299943,370.5168429999994,371.5900152079994,376.6025492909994,7.440500874999998,,,2023-12-15_10h20.10.618,
,,right,0,['left'],2.137027873999614,0,5,1,test,,15,378.1868514159996,379.19194729099945,380.04761129100007,382.1931450409993,387.20359545800056,8.373960208000426,,,2023-12-15_10h20.10.618,
,,left,0,['right'],2.0140451659990504,0,5,1,test,,1,388.6443857909999,389.651961208001,390.50651862499944,392.8066277079997,397.8187779580003,8.519108332999167,,,2023-12-15_10h20.10.618,
,,right,1,['right'],1.329257374000008,0.05,4,2,test,,10,399.24153812499935,400.24606462500014,401.1016352080005,402.6734907499995,404.18021662499996,3.6011294569998427,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.9635253329997795,0.05,4,1,test,,16,404.91804500000035,405.92243400000007,406.7772751659995,408.0202087910002,409.5270849160006,4.143546625000454,,,2023-12-15_10h20.10.618,
,,right,1,['right'],2.1138177909997466,0.05,4,1,test,,9,411.1187549999995,412.1237202499997,412.9792333330006,415.361218,416.8687826250007,5.025821958000961,,,2023-12-15_10h20.10.618,
,,left,1,['left'],0.905574083000829,0.05,4,2,test,,8,418.2220875410003,419.2269777500005,420.0826965409997,421.24838183300017,422.7549372079993,4.029725499000051,,,2023-12-15_10h20.10.618,
,,left,0,['right'],1.8875879569986864,0,4,1,test,,2,424.3415118749999,425.34569445799934,426.20058258300014,428.3744659160002,433.3872242079997,8.325590331998683,,,2023-12-15_10h20.10.618,
,,right,1,['right'],2.0900645830006397,0.05,5,2,test,,13,434.74909062500046,435.7530621250007,436.60817408299954,438.96993683300025,440.4770150830009,5.069156083000053,,,2023-12-15_10h20.10.618,
,,right,1,['right'],1.9936322489993472,0.05,5,1,test,,15,441.89394754100067,442.89779462499973,443.75292754099974,445.9897451659999,447.4963959159995,5.13776816599966,,,2023-12-15_10h20.10.618,
,,right,0,['left'],1.8846022069992614,0,5,2,test,,18,449.0858468330007,450.0897804159995,450.9457613750001,453.1052816249994,458.1152895409996,8.390735831999336,,,2023-12-15_10h20.10.618,
,,left,1,['left'],1.6921437909986707,0.05,5,1,test,,3,459.55882333299996,460.5634839159993,461.4184059580002,463.3647417909997,464.8722942080003,4.639053999999305,,,2023-12-15_10h20.10.618,
,,left,0,['right'],2.6476203330003045,0,5,2,test,,12,466.27994862500054,467.2845643750006,468.14041104100033,471.03746587500063,476.0480498329998,9.158539791000294,,,2023-12-15_10h20.10.618,
,,right,1,['right'],1.027986624998448,0.05,4,2,test,,6,477.5215680000001,478.5264819160002,479.38181774999975,480.6524298330005,482.15931708300013,4.141921624999668,,,2023-12-15_10h20.10.618,
,,right,1,['right'],1.58125974900031,0.05,4,1,test,,8,483.73481645799984,484.7384662080003,485.59364529100094,487.4384561250008,488.9457843330001,4.934298999000021,,,2023-12-15_10h20.10.618,
,,right,1,['right'],1.7831877490007173,0.05,4,1,test,,15,490.75213504100066,491.755705208001,492.6108000410004,494.6192574159995,496.1257974580003,4.602223707999656,,,2023-12-15_10h20.10.618,
,,left,0,['right'],2.5559744160000264,0,4,2,test,,2,497.4298593750009,498.43443804100025,499.2901380830008,502.11328308299926,507.12440033299936,11.250047124000048,,,2023-12-15_10h20.10.618,
,,right,1,['right'],0.8095167490009771,0.05,4,2,test,,3,510.7360826660006,511.7413520829996,512.5967031660002,513.6477373750004,515.1539692080005,3.8315651660013827,,,2023-12-15_10h20.10.618,
,,left,0,['right'],2.4264839160005067,0,5,1,test,,9,516.6328338750009,517.637946625,518.4926950829995,521.1876551250007,526.1975015829994,8.784564124000099,,,2023-12-15_10h20.10.618,
,,left,0,['right'],1.7599093739991076,0,5,2,test,,9,527.4991487080006,528.503660458,529.3585336659999,531.3980714160007,536.4076707500008,8.233023498998591,,,2023-12-15_10h20.10.618,
,,right,0,['left'],1.4823414160000539,0,5,2,test,,8,537.8032689579995,538.807336291,539.662238500001,541.4129645829998,546.4232876250007,8.300327708000623,,,2023-12-15_10h20.10.618,
,,right,1,['right'],2.808586082999682,0.05,5,1,test,,9,548.1729247910007,549.1771807080004,550.0321399999993,553.0968298330008,554.6040454579997,5.971430665998923,,,2023-12-15_10h20.10.618,
,,left,1,['left'],3.268073290999382,0.05,5,1,test,,7,556.2258860410002,557.229950541001,558.0856634579995,561.5995832909994,563.1067969159994,6.240080707999368,,,2023-12-15_10h20.10.618,
,,right,1,['right'],1.8383919160005462,0.05,4,2,test,,12,564.536699833001,565.5405233330002,566.3955613750004,568.4712714159996,569.9796435000007,4.670379373999822,,,2023-12-15_10h20.10.618,
